isbn,title,author,publisher,category,publication_year,book_type,status,file_format,price,ratings
978200001,Book Title 1,Author 1,Publisher 10,Self-Help,2018,Digital,Borrowed,EPUB,64.2,⭐
978200002,Book Title 2,Author 2,Publisher 10,Mathematics,2015,Printed,Borrowed,PDF,15.15,⭐⭐
978200003,Book Title 3,Author 3,Publisher 15,Education,2020,Digital,Borrowed,PDF,78.16,⭐
978200004,Book Title 4,Author 4,Publisher 7,Science,2005,Printed,Unavailable,EPUB,40.36,⭐⭐⭐⭐
978200005,Book Title 5,Author 5,Publisher 7,Biography,2016,Printed,Unavailable,EPUB,33.58,⭐⭐⭐
978200006,Book Title 6,Author 6,Publisher 19,Romance,2004,Printed,Available,EPUB,59.62,⭐⭐
978200007,Book Title 7,Author 7,Publisher 13,Comics,2000,Printed,Borrowed,PDF,59.64,⭐⭐⭐⭐⭐
978200008,Book Title 8,Author 8,Publisher 4,Adventure,2010,Digital,Available,PDF,12.3,⭐
978200009,Book Title 9,Author 9,Publisher 3,Cooking,2011,Digital,Unavailable,EPUB,41.11,⭐
978200010,Book Title 10,Author 10,Publisher 18,Young Adult,2020,Digital,Available,PDF,98.02,⭐⭐⭐⭐⭐
978200011,Book Title 11,Author 11,Publisher 3,Mathematics,2002,Digital,Available,EPUB,8.08,⭐
978200012,Book Title 12,Author 12,Publisher 14,Autobiography,2022,Printed,Available,PDF,63.38,⭐⭐
978200013,Book Title 13,Author 13,Publisher 3,Horror,2009,Digital,Available,EPUB,71.1,⭐⭐
978200014,Book Title 14,Author 14,Publisher 13,Health & Fitness,2023,Digital,Borrowed,PDF,61.4,⭐⭐⭐⭐⭐
978200015,Book Title 15,Author 15,Publisher 13,Art,2012,Digital,Unavailable,EPUB,38.25,⭐⭐
978200016,Book Title 16,Author 16,Publisher 3,Business,2017,Digital,Available,EPUB,61.78,⭐⭐⭐⭐⭐
978200017,Book Title 17,Author 17,Publisher 6,Philosophy,2020,Digital,Borrowed,PDF,6.64,⭐⭐⭐⭐
978200018,Book Title 18,Author 18,Publisher 18,Education,2006,Printed,Available,PDF,19.81,⭐⭐
978200019,Book Title 19,Author 19,Publisher 8,Business,2011,Digital,Borrowed,EPUB,39.43,⭐⭐
978200020,Book Title 20,Author 20,Publisher 19,Religion,2005,Digital,Available,EPUB,97.26,⭐⭐⭐
978200021,Book Title 21,Author 21,Publisher 3,Business,2024,Digital,Available,PDF,55.95,⭐⭐
978200022,Book Title 22,Author 22,Publisher 12,Young Adult,2016,Digital,Available,PDF,23.7,⭐⭐⭐⭐⭐
978200023,Book Title 23,Author 23,Publisher 13,Young Adult,2012,Printed,Borrowed,PDF,29.64,⭐⭐⭐
978200024,Book Title 24,Author 24,Publisher 4,Historical,2018,Digital,Available,PDF,43.59,⭐⭐⭐⭐⭐
978200025,Book Title 25,Author 25,Publisher 12,Politics,2025,Digital,Unavailable,EPUB,89.19,⭐⭐
978200026,Book Title 26,Author 26,Publisher 9,Art,2020,Digital,Borrowed,PDF,37.19,⭐⭐
978200027,Book Title 27,Author 27,Publisher 16,Cooking,2001,Digital,Available,EPUB,52.37,⭐
978200028,Book Title 28,Author 28,Publisher 17,Sports,2024,Digital,Available,PDF,64.62,⭐⭐⭐⭐
978200029,Book Title 29,Author 29,Publisher 5,Young Adult,2016,Digital,Unavailable,PDF,70.42,⭐⭐⭐⭐⭐
978200030,Book Title 30,Author 30,Publisher 7,Religion,2003,Digital,Borrowed,PDF,49.78,⭐⭐⭐
978200031,Book Title 31,Author 31,Publisher 10,Sports,2011,Printed,Available,PDF,67.2,⭐
978200032,Book Title 32,Author 32,Publisher 2,Philosophy,2023,Digital,Borrowed,PDF,40.79,⭐⭐⭐
978200033,Book Title 33,Author 33,Publisher 18,Young Adult,2014,Digital,Borrowed,PDF,90.67,⭐⭐
978200034,Book Title 34,Author 34,Publisher 1,Music,2022,Digital,Available,PDF,76.12,⭐⭐⭐
978200035,Book Title 35,Author 35,Publisher 20,Children Books,2005,Printed,Available,EPUB,47.44,⭐⭐⭐⭐⭐
978200036,Book Title 36,Author 36,Publisher 17,Adventure,2018,Digital,Available,EPUB,94.85,⭐⭐⭐⭐⭐
978200037,Book Title 37,Author 37,Publisher 18,Horror,2019,Printed,Borrowed,EPUB,35.67,⭐⭐⭐
978200038,Book Title 38,Author 38,Publisher 20,Cooking,2004,Digital,Borrowed,PDF,5.78,⭐⭐⭐⭐⭐
978200039,Book Title 39,Author 39,Publisher 9,Young Adult,2018,Printed,Available,PDF,86.21,⭐
978200040,Book Title 40,Author 40,Publisher 20,Politics,2014,Printed,Unavailable,PDF,96.05,⭐⭐
978200041,Book Title 41,Author 41,Publisher 2,Economics,2006,Digital,Available,PDF,35.57,⭐⭐
978200042,Book Title 42,Author 42,Publisher 5,Politics,2018,Printed,Unavailable,PDF,59.05,⭐
978200043,Book Title 43,Author 43,Publisher 1,Politics,2010,Digital,Available,EPUB,82.25,⭐⭐⭐⭐⭐
978200044,Book Title 44,Author 44,Publisher 8,Politics,2003,Printed,Unavailable,EPUB,92.53,⭐⭐⭐
978200045,Book Title 45,Author 45,Publisher 3,Cooking,2008,Digital,Borrowed,EPUB,23.39,⭐⭐⭐⭐
978200046,Book Title 46,Author 46,Publisher 12,Psychology,2011,Digital,Borrowed,EPUB,43.45,⭐
978200047,Book Title 47,Author 47,Publisher 1,Comics,2019,Printed,Unavailable,PDF,83.51,⭐⭐⭐⭐
978200048,Book Title 48,Author 48,Publisher 6,Religion,2023,Printed,Available,PDF,28.71,⭐
978200049,Book Title 49,Author 49,Publisher 15,Religion,2001,Digital,Borrowed,PDF,99.1,⭐⭐⭐⭐⭐
978200050,Book Title 50,Author 50,Publisher 6,Young Adult,2023,Digital,Unavailable,EPUB,30.32,⭐⭐⭐
978200051,Book Title 51,Author 51,Publisher 18,Adventure,2004,Printed,Unavailable,PDF,5.4,⭐⭐⭐⭐⭐
978200052,Book Title 52,Author 52,Publisher 20,Religion,2012,Printed,Available,PDF,94.56,⭐⭐⭐⭐
978200053,Book Title 53,Author 53,Publisher 3,Philosophy,2017,Digital,Available,EPUB,23.78,⭐⭐⭐⭐
978200054,Book Title 54,Author 54,Publisher 10,Politics,2016,Printed,Unavailable,PDF,78.04,⭐⭐⭐⭐⭐
978200055,Book Title 55,Author 55,Publisher 19,Programming,2022,Digital,Unavailable,PDF,47.34,⭐⭐⭐⭐⭐
978200056,Book Title 56,Author 56,Publisher 16,Religion,2025,Digital,Unavailable,PDF,80.58,⭐⭐⭐⭐⭐
978200057,Book Title 57,Author 57,Publisher 14,Philosophy,2018,Printed,Available,PDF,38.97,⭐⭐⭐⭐⭐
978200058,Book Title 58,Author 58,Publisher 5,Fantasy,2001,Printed,Unavailable,EPUB,5.56,⭐⭐⭐⭐
978200059,Book Title 59,Author 59,Publisher 14,Travel,2014,Printed,Borrowed,EPUB,47.35,⭐⭐⭐⭐
978200060,Book Title 60,Author 60,Publisher 9,Horror,2024,Digital,Borrowed,PDF,96.45,⭐⭐⭐
978200061,Book Title 61,Author 61,Publisher 10,Adventure,2025,Printed,Borrowed,PDF,10.5,⭐⭐⭐⭐
978200062,Book Title 62,Author 62,Publisher 3,Programming,2011,Digital,Available,PDF,51.51,⭐
978200063,Book Title 63,Author 63,Publisher 10,Horror,2003,Printed,Available,EPUB,11.85,⭐⭐
978200064,Book Title 64,Author 64,Publisher 5,Art,2025,Digital,Borrowed,PDF,37.09,⭐⭐⭐⭐
978200065,Book Title 65,Author 65,Publisher 17,Cooking,2018,Printed,Unavailable,PDF,64.18,⭐⭐⭐⭐⭐
978200066,Book Title 66,Author 66,Publisher 16,Food,2009,Digital,Borrowed,PDF,42.3,⭐⭐⭐⭐⭐
978200067,Book Title 67,Author 67,Publisher 10,Mathematics,2010,Digital,Available,EPUB,43.05,⭐⭐
978200068,Book Title 68,Author 68,Publisher 10,Food,2025,Printed,Unavailable,EPUB,50.68,⭐⭐⭐⭐
978200069,Book Title 69,Author 69,Publisher 13,Young Adult,2001,Digital,Available,EPUB,92.88,⭐⭐⭐⭐
978200070,Book Title 70,Author 70,Publisher 16,Psychology,2004,Printed,Unavailable,PDF,45.05,⭐⭐⭐
978200071,Book Title 71,Author 71,Publisher 13,Food,2011,Digital,Available,PDF,72.53,⭐⭐⭐⭐
978200072,Book Title 72,Author 72,Publisher 11,Children Books,2017,Digital,Unavailable,EPUB,73.17,⭐⭐
978200073,Book Title 73,Author 73,Publisher 11,Adventure,2008,Digital,Available,PDF,91.21,⭐⭐
978200074,Book Title 74,Author 74,Publisher 10,Politics,2001,Printed,Available,PDF,51.96,⭐
978200075,Book Title 75,Author 75,Publisher 1,Young Adult,2003,Digital,Available,PDF,65.26,⭐⭐⭐
978200076,Book Title 76,Author 76,Publisher 5,Psychology,2021,Printed,Borrowed,EPUB,29.56,⭐⭐⭐⭐⭐
978200077,Book Title 77,Author 77,Publisher 5,Self-Help,2018,Digital,Available,EPUB,95.15,⭐⭐
978200078,Book Title 78,Author 78,Publisher 6,Religion,2024,Digital,Borrowed,PDF,40.52,⭐⭐⭐⭐⭐
978200079,Book Title 79,Author 79,Publisher 20,Business,2004,Digital,Available,EPUB,43.94,⭐⭐
978200080,Book Title 80,Author 80,Publisher 3,Economics,2001,Digital,Unavailable,PDF,97.17,⭐⭐⭐
978200081,Book Title 81,Author 81,Publisher 6,Politics,2019,Digital,Available,EPUB,47.53,⭐
978200082,Book Title 82,Author 82,Publisher 6,Children Books,2002,Digital,Available,PDF,57.46,⭐⭐
978200083,Book Title 83,Author 83,Publisher 14,Politics,2014,Printed,Borrowed,PDF,76.85,⭐⭐
978200084,Book Title 84,Author 84,Publisher 19,Psychology,2010,Printed,Borrowed,PDF,39.22,⭐⭐⭐⭐
978200085,Book Title 85,Author 85,Publisher 14,Cooking,2010,Printed,Borrowed,PDF,88.81,⭐
978200086,Book Title 86,Author 86,Publisher 11,Historical,2017,Digital,Unavailable,PDF,66.33,⭐⭐⭐⭐⭐
978200087,Book Title 87,Author 87,Publisher 11,Religion,2017,Printed,Available,PDF,88.0,⭐⭐
978200088,Book Title 88,Author 88,Publisher 10,Comics,2012,Digital,Borrowed,PDF,96.61,⭐⭐⭐⭐
978200089,Book Title 89,Author 89,Publisher 13,Comics,2001,Printed,Available,PDF,9.88,⭐⭐⭐⭐
978200090,Book Title 90,Author 90,Publisher 6,Health & Fitness,2016,Printed,Borrowed,PDF,62.0,⭐
978200091,Book Title 91,Author 91,Publisher 14,Cooking,2016,Printed,Unavailable,PDF,38.12,⭐
978200092,Book Title 92,Author 92,Publisher 7,Children Books,2001,Digital,Unavailable,EPUB,27.36,⭐⭐⭐⭐⭐
978200093,Book Title 93,Author 93,Publisher 15,Technology,2013,Digital,Borrowed,PDF,32.33,⭐⭐⭐
978200094,Book Title 94,Author 94,Publisher 1,Mathematics,2009,Digital,Available,PDF,53.06,⭐⭐⭐⭐
978200095,Book Title 95,Author 95,Publisher 5,Programming,2002,Printed,Available,PDF,11.9,⭐
978200096,Book Title 96,Author 96,Publisher 9,Philosophy,2005,Printed,Available,EPUB,32.56,⭐⭐
978200097,Book Title 97,Author 97,Publisher 7,Romance,2007,Printed,Unavailable,PDF,76.18,⭐⭐⭐
978200098,Book Title 98,Author 98,Publisher 11,Education,2000,Printed,Available,EPUB,44.43,⭐⭐⭐
978200099,Book Title 99,Author 99,Publisher 11,Science,2008,Printed,Unavailable,EPUB,6.23,⭐⭐⭐
978200100,Book Title 100,Author 100,Publisher 8,Religion,2022,Digital,Borrowed,PDF,40.12,⭐⭐⭐
